layer_idx_norm,param_count_norm,act_size_norm,grad_norm_norm,optimal_rank,module_name
0.0,0.0,1.0,0.999999953877981,64,LoRALinear_126492824841264
0.0068493150680240195,0.11989820791326217,0.0815010844260501,0.1854121971365889,5,Conv1D_126492821257296
0.013698630136048039,0.11989820791326217,0.0815010844260501,0.18077555281731233,5,Conv1D_126492821257440
0.020547945204072056,0.11989820791326217,0.0815010844260501,0.18731638000012074,5,Conv1D_126492825136800
0.027397260272096078,0.11989820791326217,0.0815010844260501,0.247043433994168,5,Conv1D_126492821255472
0.03424657534012009,0.11989820791326217,0.0815010844260501,0.19849771085697684,5,Conv1D_126492821255760
0.04109589040814411,0.11989820791326217,0.0815010844260501,0.22537368535388433,5,Conv1D_126492821258112
0.04794520547616814,0.11989820791326217,0.0815010844260501,0.22337132266509233,5,Conv1D_126492821248560
0.054794520544192156,0.11989820791326217,0.0815010844260501,0.23569851265504344,5,Conv1D_126492821254080
0.061643835612216175,0.11989820791326217,0.0815010844260501,0.22145666376587184,5,Conv1D_126492821253360
0.06849315068024019,0.11989820791326217,0.0815010844260501,0.2289720978715014,5,Conv1D_126492821252640
0.07534246574826421,0.11989820791326217,0.0815010844260501,0.2199715579900625,5,Conv1D_126492821251968
0.08219178081628822,0.11989820791326217,0.0815010844260501,0.209528956670745,5,Conv1D_126492821245776
0.08904109588431225,0.11989820791326217,0.0815010844260501,0.19195511246915392,5,Conv1D_126492821250336
0.09589041095233627,0.11989820791326217,0.0815010844260501,0.1845945453933507,5,Conv1D_126492825329040
0.10273972602036029,0.11989820791326217,0.0815010844260501,0.16785625714961488,5,Conv1D_126492826582816
0.10958904108838431,0.11989820791326217,0.0815010844260501,0.16251072949319073,5,Conv1D_126492821783184
0.11643835615640832,0.11989820791326217,0.0815010844260501,0.16217735531391286,5,Conv1D_126492821783904
0.12328767122443235,0.11989820791326217,0.0815010844260501,0.14713267902854227,5,Conv1D_126492821784624
0.13013698629245637,0.11989820791326217,0.0815010844260501,0.15335956194842956,5,Conv1D_126492821785296
0.13698630136048037,0.11989820791326217,0.0815010844260501,0.14864007799108747,5,Conv1D_126492821786016
0.1438356164285044,0.11989820791326217,0.0815010844260501,0.14823548276484041,5,Conv1D_126492821786736
0.15068493149652842,0.11989820791326217,0.0815010844260501,0.13927218435500308,5,Conv1D_126492821787456
0.15753424656455245,0.11989820791326217,0.0815010844260501,0.16553136256137482,5,Conv1D_126492821788176
0.16438356163257645,0.11989820791326217,0.0815010844260501,0.22850719994829954,5,Conv1D_126492821788896
0.17123287670060047,0.11989820791326217,0.06112581331953758,0.44088765925613327,4,Conv1D_126492826182400
0.1780821917686245,0.11989820791326217,0.06112581331953758,0.1723898232263331,4,Conv1D_126492821250720
0.18493150683664852,0.11989820791326217,0.06112581331953758,0.18971333243360888,4,Conv1D_126492896109168
0.19178082190467255,0.11989820791326217,0.06112581331953758,0.20074519423932666,4,Conv1D_126492825861536
0.19863013697269655,0.11989820791326217,0.06112581331953758,0.15587709351636103,4,Conv1D_126492825132768
0.20547945204072057,0.11989820791326217,0.06112581331953758,0.13907914785882594,4,Conv1D_126492821256000
0.2123287671087446,0.11989820791326217,0.06112581331953758,0.1839435126923693,4,Conv1D_126492821245872
0.21917808217676862,0.11989820791326217,0.06112581331953758,0.17392301328791074,4,Conv1D_126492821254416
0.22602739724479262,0.11989820791326217,0.06112581331953758,0.1461372125345687,4,Conv1D_126492821253696
0.23287671231281665,0.11989820791326217,0.06112581331953758,0.19122960785491327,4,Conv1D_126492821252976
0.23972602738084067,0.11989820791326217,0.06112581331953758,0.17101868910555595,4,Conv1D_126492821252256
0.2465753424488647,0.11989820791326217,0.06112581331953758,0.18354116681851365,4,Conv1D_126492821251584
0.2534246575168887,0.11989820791326217,0.06112581331953758,0.15620301192744998,4,Conv1D_126492821245104
0.26027397258491275,0.11989820791326217,0.06112581331953758,0.18042316729651,4,Conv1D_126492904225920
0.26712328765293675,0.11989820791326217,0.06112581331953758,0.15055950120607278,4,Conv1D_126492824983104
0.27397260272096075,0.11989820791326217,0.06112581331953758,0.1520920991906927,4,Conv1D_126492821782848
0.2808219177889848,0.11989820791326217,0.06112581331953758,0.12465990947011414,4,Conv1D_126492821783568
0.2876712328570088,0.11989820791326217,0.06112581331953758,0.12692861378278808,4,Conv1D_126492821784288
0.29452054792503285,0.11989820791326217,0.06112581331953758,0.10107884464937357,4,Conv1D_126492821242560
0.30136986299305685,0.11989820791326217,0.06112581331953758,0.07999915563685589,4,Conv1D_126492821785680
0.30821917806108085,0.11989820791326217,0.06112581331953758,0.09037820977245696,4,Conv1D_126492821786400
0.3150684931291049,0.11989820791326217,0.06112581331953758,0.09409044588852818,4,Conv1D_126492821787120
0.3219178081971289,0.11989820791326217,0.06112581331953758,0.10042535466541858,4,Conv1D_126492821787840
0.3287671232651529,0.11989820791326217,0.06112581331953758,0.15110214423897014,4,Conv1D_126492821788560
0.33561643833317695,7.800159903278014e-05,0.020375271106512525,0.5358150522592359,4,LayerNorm_126492821254656
0.34246575340120095,0.11989820791326217,0.020375271106512525,0.3576097096329886,4,Conv1D_126492825682912
0.349315068469225,7.800159903278014e-05,0.020375271106512525,0.2318548667015906,4,LayerNorm_126492895578544
0.356164383537249,0.11989820791326217,0.020375271106512525,0.31314130494965187,4,Conv1D_126492821257584
0.363013698605273,7.800159903278014e-05,0.020375271106512525,0.17446830219291581,4,LayerNorm_126492821250864
0.36986301367329705,0.11989820791326217,0.020375271106512525,0.14058408137451514,4,Conv1D_126492821249760
