eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,perplexity,seed,schedule,dataset,model,experiment
1.9509267807006836,0.9282,53.87,14.006,2.0,7.035204652071684,777,uniform,wikitext,bert-base-uncased,wikitext_bert-base-uncased_uniform_s777
3.8553452491760254,1.0669,40.303,10.31,2.0,47.24492539743705,2024,ranknet,ag,news_gpt2-medium,ag_news_gpt2-medium_ranknet_s2024
3.332037925720215,1.2718,39.315,10.222,2.0,27.995336023744063,2024,uniform,wikitext,gpt2-medium,wikitext_gpt2-medium_uniform_s2024
2.2570250034332275,0.954,52.41,13.627,2.0,9.55462187543722,2025,uniform,wikitext,bert-base-uncased,wikitext_bert-base-uncased_uniform_s2025
2.2894351482391357,0.8142,61.413,15.967,2.0,9.869361380275501,123,ranknet,wikitext,bert-base-uncased,wikitext_bert-base-uncased_ranknet_s123
3.846583843231201,0.917,46.891,11.995,2.0,46.83280145606498,7,ranknet,ag,news_gpt2-medium,ag_news_gpt2-medium_ranknet_s7
2.8879234790802,0.8389,52.448,13.112,2.0,17.955984883936562,777,uniform,ag,news_bert-base-uncased,ag_news_bert-base-uncased_uniform_s777
2.3715646266937256,0.893,55.992,14.558,2.0,10.714142810375103,555,ranknet,wikitext,bert-base-uncased,wikitext_bert-base-uncased_ranknet_s555
3.5873639583587646,1.1744,42.574,11.069,2.0,36.13868717310136,99,ranknet,wikitext,gpt2-medium,wikitext_gpt2-medium_ranknet_s99
2.556501626968384,0.7834,63.82,16.593,2.0,12.890642067113394,2025,ranknet,wikitext,bert-base-uncased,wikitext_bert-base-uncased_ranknet_s2025
2.6576247215270996,0.919,47.876,11.969,2.0,14.262371728485457,999,uniform,ag,news_bert-base-uncased,ag_news_bert-base-uncased_uniform_s999
3.4208486080169678,1.4268,35.044,9.111,2.0,30.59536748188681,2025,uniform,wikitext,gpt2-medium,wikitext_gpt2-medium_uniform_s2025
2.052710771560669,0.9481,52.735,13.711,2.0,7.7889866778838295,42,uniform,wikitext,bert-base-uncased,wikitext_bert-base-uncased_uniform_s42
3.635434627532959,1.0115,49.433,12.853,2.0,37.9183296663308,2024,ranknet,wikitext,gpt2-medium,wikitext_gpt2-medium_ranknet_s2024
3.307676315307617,1.2581,39.742,10.333,2.0,27.321564950949604,777,uniform,wikitext,gpt2-medium,wikitext_gpt2-medium_uniform_s777
2.3336081504821777,0.8352,59.867,15.565,2.0,10.315092876254825,999,ranknet,wikitext,bert-base-uncased,wikitext_bert-base-uncased_ranknet_s999
3.2760300636291504,1.3309,37.568,9.768,2.0,26.470477718727793,99,uniform,wikitext,gpt2-medium,wikitext_gpt2-medium_uniform_s99
2.3564043045043945,0.8379,59.674,15.515,2.0,10.552937999359486,2024,ranknet,wikitext,bert-base-uncased,wikitext_bert-base-uncased_ranknet_s2024
3.472526788711548,1.0864,39.58,10.125,2.0,32.21804788035794,2025,uniform,ag,news_gpt2-medium,ag_news_gpt2-medium_uniform_s2025
