feature,predicted_rank
bert.embeddings.word_embeddings,19
cls.predictions.transform.LayerNorm,0
bert.encoder.layer.4.intermediate.dense,21
bert.encoder.layer.6.intermediate.dense,21
bert.encoder.layer.5.intermediate.dense,22
bert.encoder.layer.3.intermediate.dense,23
bert.encoder.layer.2.intermediate.dense,23
bert.encoder.layer.4.output.dense,24
bert.encoder.layer.9.intermediate.dense,26
bert.encoder.layer.3.output.dense,28
bert.encoder.layer.5.output.dense,30
bert.encoder.layer.1.intermediate.dense,36
bert.encoder.layer.11.intermediate.dense,115
bert.encoder.layer.7.intermediate.dense,40
bert.encoder.layer.8.intermediate.dense,45
bert.encoder.layer.9.output.dense,52
bert.encoder.layer.10.intermediate.dense,60
bert.encoder.layer.6.output.dense,70
bert.encoder.layer.2.output.dense,83
bert.encoder.layer.10.output.dense,99
bert.encoder.layer.1.output.dense,111
bert.encoder.layer.7.output.dense,110
bert.encoder.layer.0.intermediate.dense,109
bert.encoder.layer.8.output.dense,21
bert.encoder.layer.0.output.dense,20
bert.encoder.layer.11.output.dense,20
cls.predictions.bias,20
cls.predictions.transform.dense,19
bert.encoder.layer.2.attention.self.query,19
bert.encoder.layer.2.attention.self.key,19
bert.encoder.layer.10.attention.self.query,19
bert.encoder.layer.9.attention.self.key,19
bert.encoder.layer.9.attention.self.query,19
bert.encoder.layer.10.attention.self.key,19
bert.encoder.layer.11.attention.self.query,19
bert.encoder.layer.11.attention.self.key,19
bert.encoder.layer.8.attention.self.key,19
bert.encoder.layer.8.attention.self.query,19
bert.encoder.layer.7.attention.self.key,19
bert.encoder.layer.5.attention.self.query,19
bert.encoder.layer.7.attention.self.query,19
bert.encoder.layer.5.attention.self.key,19
bert.encoder.layer.0.attention.self.query,19
bert.encoder.layer.3.attention.self.query,19
bert.encoder.layer.6.attention.self.query,19
bert.encoder.layer.6.attention.self.key,19
bert.encoder.layer.3.attention.self.key,19
bert.encoder.layer.0.attention.self.key,19
bert.encoder.layer.1.attention.self.query,32
bert.encoder.layer.1.attention.self.key,62
bert.encoder.layer.4.attention.self.query,61
bert.encoder.layer.4.attention.self.key,61
bert.encoder.layer.11.attention.self.value,57
bert.encoder.layer.11.attention.output.dense,54
bert.encoder.layer.10.attention.self.value,52
bert.encoder.layer.8.attention.self.value,51
bert.encoder.layer.5.attention.self.value,51
bert.encoder.layer.4.attention.self.value,51
bert.encoder.layer.0.attention.output.LayerNorm,0
bert.encoder.layer.9.attention.self.value,50
bert.encoder.layer.6.attention.self.value,49
bert.encoder.layer.8.attention.output.dense,49
bert.encoder.layer.10.attention.output.dense,48
bert.encoder.layer.5.attention.output.dense,48
bert.encoder.layer.7.attention.self.value,48
bert.encoder.layer.9.attention.output.dense,48
bert.encoder.layer.4.attention.output.dense,47
bert.encoder.layer.6.attention.output.dense,47
bert.encoder.layer.1.attention.output.LayerNorm,0
bert.encoder.layer.7.attention.output.dense,46
bert.encoder.layer.1.output.LayerNorm,0
bert.encoder.layer.3.attention.output.LayerNorm,0
bert.encoder.layer.2.attention.output.LayerNorm,0
bert.encoder.layer.3.attention.self.value,45
bert.embeddings.LayerNorm,0
bert.encoder.layer.11.attention.output.LayerNorm,0
bert.encoder.layer.5.attention.output.LayerNorm,0
bert.encoder.layer.2.output.LayerNorm,0
bert.encoder.layer.10.attention.output.LayerNorm,0
bert.encoder.layer.4.attention.output.LayerNorm,0
bert.encoder.layer.8.attention.output.LayerNorm,0
bert.encoder.layer.4.output.LayerNorm,0
bert.encoder.layer.6.attention.output.LayerNorm,0
bert.encoder.layer.6.output.LayerNorm,0
bert.encoder.layer.5.output.LayerNorm,0
bert.encoder.layer.8.output.LayerNorm,0
bert.encoder.layer.7.attention.output.LayerNorm,0
bert.encoder.layer.9.attention.output.LayerNorm,0
bert.encoder.layer.10.output.LayerNorm,0
bert.encoder.layer.3.output.LayerNorm,0
bert.encoder.layer.7.output.LayerNorm,0
bert.encoder.layer.3.attention.output.dense,42
bert.encoder.layer.9.output.LayerNorm,0
bert.encoder.layer.0.attention.self.value,42
bert.encoder.layer.0.attention.output.dense,41
bert.encoder.layer.1.attention.self.value,41
bert.encoder.layer.1.attention.output.dense,41
bert.encoder.layer.2.attention.self.value,40
bert.encoder.layer.0.output.LayerNorm,0
bert.encoder.layer.2.attention.output.dense,19
bert.encoder.layer.11.output.LayerNorm,1
bert.embeddings.position_embeddings,10
bert.encoder.layer.0.attention.output.LayerNorm.bias,1
cls.predictions.transform.LayerNorm.bias,1
bert.encoder.layer.0.attention.self.query.bias,8
bert.encoder.layer.5.intermediate.dense.bias,7
bert.encoder.layer.4.intermediate.dense.bias,7
bert.encoder.layer.6.intermediate.dense.bias,7
bert.encoder.layer.7.intermediate.dense.bias,7
bert.encoder.layer.0.intermediate.dense.bias,7
bert.encoder.layer.2.intermediate.dense.bias,7
bert.encoder.layer.10.attention.self.query.bias,7
bert.encoder.layer.9.intermediate.dense.bias,7
bert.encoder.layer.3.intermediate.dense.bias,6
bert.encoder.layer.1.intermediate.dense.bias,6
bert.encoder.layer.10.intermediate.dense.bias,6
bert.encoder.layer.8.intermediate.dense.bias,6
bert.encoder.layer.11.attention.self.query.bias,6
bert.encoder.layer.1.attention.output.LayerNorm.bias,1
bert.encoder.layer.9.attention.self.query.bias,6
bert.encoder.layer.11.intermediate.dense.bias,5
bert.encoder.layer.1.attention.self.query.bias,5
bert.encoder.layer.2.attention.output.LayerNorm.bias,1
bert.encoder.layer.8.attention.self.query.bias,5
bert.encoder.layer.3.attention.output.LayerNorm.bias,1
bert.encoder.layer.4.attention.self.query.bias,4
bert.encoder.layer.7.attention.output.LayerNorm.bias,1
bert.encoder.layer.4.attention.output.LayerNorm.bias,1
bert.encoder.layer.7.attention.self.query.bias,4
bert.encoder.layer.6.attention.output.LayerNorm.bias,1
bert.encoder.layer.3.attention.self.query.bias,4
bert.encoder.layer.5.attention.output.LayerNorm.bias,1
bert.encoder.layer.9.attention.output.LayerNorm.bias,1
bert.encoder.layer.10.attention.output.LayerNorm.bias,1
bert.encoder.layer.8.attention.output.LayerNorm.bias,1
bert.encoder.layer.2.attention.self.query.bias,4
bert.encoder.layer.6.attention.self.query.bias,4
bert.encoder.layer.5.attention.self.query.bias,4
bert.encoder.layer.11.attention.output.LayerNorm.bias,1
bert.encoder.layer.0.output.LayerNorm.bias,1
bert.encoder.layer.10.output.dense.bias,3
cls.predictions.transform.dense.bias,3
bert.encoder.layer.1.output.LayerNorm.bias,1
bert.encoder.layer.2.attention.output.dense.bias,3
bert.encoder.layer.8.output.dense.bias,3
bert.encoder.layer.7.output.dense.bias,3
bert.encoder.layer.2.output.LayerNorm.bias,1
bert.encoder.layer.0.output.dense.bias,3
bert.encoder.layer.9.output.dense.bias,3
bert.encoder.layer.10.output.LayerNorm.bias,1
bert.encoder.layer.3.output.dense.bias,2
bert.encoder.layer.7.output.LayerNorm.bias,1
bert.encoder.layer.3.attention.output.dense.bias,2
bert.embeddings.LayerNorm.bias,1
bert.encoder.layer.6.output.LayerNorm.bias,1
bert.encoder.layer.2.output.dense.bias,2
bert.encoder.layer.8.output.LayerNorm.bias,1
bert.encoder.layer.6.output.dense.bias,2
bert.encoder.layer.5.output.LayerNorm.bias,1
bert.encoder.layer.9.output.LayerNorm.bias,1
bert.encoder.layer.8.attention.output.dense.bias,2
bert.encoder.layer.7.attention.output.dense.bias,2
bert.encoder.layer.3.output.LayerNorm.bias,1
bert.encoder.layer.9.attention.output.dense.bias,2
bert.encoder.layer.1.output.dense.bias,2
bert.encoder.layer.1.attention.output.dense.bias,2
bert.encoder.layer.4.output.LayerNorm.bias,1
bert.encoder.layer.5.output.dense.bias,2
bert.encoder.layer.2.attention.self.value.bias,2
bert.encoder.layer.11.output.dense.bias,2
bert.encoder.layer.4.output.dense.bias,2
bert.encoder.layer.11.output.LayerNorm.bias,1
bert.encoder.layer.10.attention.output.dense.bias,2
bert.encoder.layer.6.attention.output.dense.bias,2
bert.embeddings.token_type_embeddings,2
bert.encoder.layer.8.attention.self.value.bias,2
bert.encoder.layer.5.attention.output.dense.bias,2
bert.encoder.layer.1.attention.self.value.bias,2
bert.encoder.layer.4.attention.output.dense.bias,2
bert.encoder.layer.7.attention.self.value.bias,2
bert.encoder.layer.0.attention.self.value.bias,2
bert.encoder.layer.9.attention.self.value.bias,2
bert.encoder.layer.11.attention.output.dense.bias,2
bert.encoder.layer.0.attention.output.dense.bias,1
bert.encoder.layer.6.attention.self.value.bias,1
bert.encoder.layer.3.attention.self.value.bias,1
bert.encoder.layer.10.attention.self.value.bias,1
bert.encoder.layer.5.attention.self.value.bias,1
bert.encoder.layer.4.attention.self.value.bias,1
bert.encoder.layer.11.attention.self.value.bias,1
bert.encoder.layer.8.attention.self.key.bias,1
bert.encoder.layer.9.attention.self.key.bias,1
bert.encoder.layer.10.attention.self.key.bias,1
bert.encoder.layer.5.attention.self.key.bias,1
bert.encoder.layer.7.attention.self.key.bias,1
bert.encoder.layer.6.attention.self.key.bias,1
bert.encoder.layer.11.attention.self.key.bias,1
bert.encoder.layer.1.attention.self.key.bias,1
bert.encoder.layer.4.attention.self.key.bias,1
bert.encoder.layer.3.attention.self.key.bias,1
bert.encoder.layer.2.attention.self.key.bias,0
bert.encoder.layer.0.attention.self.key.bias,0
