module_name,bytes
LoRALinear_123464720605664,125018112
Conv1D_123464712726592,12582912
NewGELUActivation_123464712732256,12582912
Conv1D_123464727739232,12582912
NewGELUActivation_123464716135280,12582912
Conv1D_123464716273232,12582912
NewGELUActivation_123464716274576,12582912
Conv1D_123464712731728,12582912
NewGELUActivation_123464712731680,12582912
Conv1D_123464712730912,12582912
NewGELUActivation_123464712731296,12582912
Conv1D_123464712726304,12582912
NewGELUActivation_123464712726064,12582912
Conv1D_123464712729904,12582912
NewGELUActivation_123464712729808,12582912
Conv1D_123464712729184,12582912
NewGELUActivation_123464712729088,12582912
Conv1D_123464712728464,12582912
NewGELUActivation_123464712728368,12582912
Conv1D_123464712726256,12582912
NewGELUActivation_123464712727600,12582912
Conv1D_123464712725344,12582912
NewGELUActivation_123464716684656,12582912
Conv1D_123464716545888,12582912
NewGELUActivation_123464716549968,12582912
Conv1D_123464712730528,9437184
Conv1D_123464712726736,9437184
Conv1D_123464716130096,9437184
Conv1D_123464720232192,9437184
Conv1D_123464712731152,9437184
Conv1D_123464712725200,9437184
Conv1D_123464712730240,9437184
Conv1D_123464712729520,9437184
Conv1D_123464712728800,9437184
Conv1D_123464712728176,9437184
Conv1D_123464712727408,9437184
Conv1D_123464716135424,9437184
Embedding_123464715982112,3145728
Dropout_123464712730576,3145728
LayerNorm_123464712720928,3145728
Conv1D_123464712720400,3145728
Dropout_123464712732544,3145728
GPT2Attention_123464719041312,3145728
LayerNorm_123464712726448,3145728
Conv1D_123464715986048,3145728
Dropout_123464712732592,3145728
GPT2MLP_123464712731920,3145728
GPT2Block_123464716274768,3145728
LayerNorm_123464712732640,3145728
Conv1D_123464717154208,3145728
Dropout_123464715981488,3145728
GPT2Attention_123464712720352,3145728
LayerNorm_123464718390368,3145728
Conv1D_123464718547808,3145728
Dropout_123464716135520,3145728
GPT2MLP_123464727737264,3145728
GPT2Block_123464712732400,3145728
LayerNorm_123464716136528,3145728
Conv1D_123464716140464,3145728
Dropout_123464716130048,3145728
GPT2Attention_123464716130576,3145728
LayerNorm_123464716136048,3145728
Conv1D_123464716275440,3145728
Dropout_123464716274480,3145728
GPT2MLP_123464716272560,3145728
GPT2Block_123464716136768,3145728
LayerNorm_123464721422224,3145728
Conv1D_123465964311312,3145728
Dropout_123464712732160,3145728
GPT2Attention_123464718892832,3145728
LayerNorm_123464712725776,3145728
Conv1D_123464712731488,3145728
Dropout_123464712730864,3145728
GPT2MLP_123464712730720,3145728
GPT2Block_123464716277504,3145728
LayerNorm_123464712730816,3145728
Conv1D_123464712731872,3145728
Dropout_123464712731056,3145728
GPT2Attention_123464712730768,3145728
LayerNorm_123464712731008,3145728
Conv1D_123464712731440,3145728
Dropout_123464712731344,3145728
GPT2MLP_123464712731584,3145728
GPT2Block_123464712731392,3145728
LayerNorm_123464712730672,3145728
Conv1D_123464712725680,3145728
Dropout_123464712725248,3145728
GPT2Attention_123464712731632,3145728
LayerNorm_123464712724816,3145728
Conv1D_123464712717712,3145728
Dropout_123464712730480,3145728
GPT2MLP_123464712725488,3145728
GPT2Block_123464712731536,3145728
LayerNorm_123464712730384,3145728
Conv1D_123464712730192,3145728
Dropout_123464712730096,3145728
GPT2Attention_123464712730336,3145728
LayerNorm_123464712730048,3145728
Conv1D_123464712729856,3145728
Dropout_123464712729760,3145728
GPT2MLP_123464712730000,3145728
GPT2Block_123464712730432,3145728
LayerNorm_123464712729664,3145728
Conv1D_123464712729472,3145728
Dropout_123464712729376,3145728
GPT2Attention_123464712729616,3145728
LayerNorm_123464712729328,3145728
Conv1D_123464712729136,3145728
Dropout_123464712729040,3145728
GPT2MLP_123464712729280,3145728
GPT2Block_123464712729712,3145728
LayerNorm_123464712728944,3145728
Conv1D_123464712728752,3145728
Dropout_123464712728656,3145728
GPT2Attention_123464712728896,3145728
LayerNorm_123464712728608,3145728
Conv1D_123464712728416,3145728
Dropout_123464712728320,3145728
GPT2MLP_123464712728560,3145728
GPT2Block_123464712728992,3145728
LayerNorm_123464712728224,3145728
Conv1D_123464712728128,3145728
Dropout_123464712728032,3145728
GPT2Attention_123464712726544,3145728
LayerNorm_123464712727984,3145728
Conv1D_123464712726880,3145728
Dropout_123464712726400,3145728
GPT2MLP_123464712727840,3145728
GPT2Block_123464712728272,3145728
LayerNorm_123464712725104,3145728
Conv1D_123464712727360,3145728
Dropout_123464712727552,3145728
GPT2Attention_123464712726976,3145728
LayerNorm_123464712718960,3145728
Conv1D_123464716684416,3145728
Dropout_123464716683216,3145728
GPT2MLP_123464712725584,3145728
GPT2Block_123464712727696,3145728
LayerNorm_123464720725680,3145728
Conv1D_123464717854256,3145728
Dropout_123464717855024,3145728
GPT2Attention_123464720720256,3145728
LayerNorm_123464717853632,3145728
Conv1D_123464716547760,3145728
Dropout_123464716547328,3145728
GPT2MLP_123464716543728,3145728
GPT2Block_123464720725584,3145728
LayerNorm_123464716425920,3145728
Embedding_123464712727648,393216
