module_name,bytes
GPT2Block_126492821251392,4194304
LayerNorm_126492825395728,4194304
Conv1D_126492898605248,4194304
Dropout_126492894458848,4194304
GPT2Attention_126492904224432,4194304
LayerNorm_126492894453520,4194304
Conv1D_126492825332304,4194304
Dropout_126492824980560,4194304
GPT2MLP_126492825333984,4194304
GPT2Block_126492825388432,4194304
LayerNorm_126492824980512,4194304
Conv1D_126492824981472,4194304
Dropout_126492824981232,4194304
GPT2Attention_126492824980464,4194304
LayerNorm_126492824981088,4194304
Conv1D_126492826582720,4194304
Dropout_126492821782608,4194304
GPT2MLP_126492826582960,4194304
GPT2Block_126492824980704,4194304
LayerNorm_126492821782704,4194304
Conv1D_126492821782896,4194304
Dropout_126492821782992,4194304
GPT2Attention_126492821782752,4194304
LayerNorm_126492821783040,4194304
Conv1D_126492821783232,4194304
Dropout_126492821783328,4194304
GPT2MLP_126492821783088,4194304
GPT2Block_126492821782656,4194304
LayerNorm_126492821783424,4194304
Conv1D_126492821783616,4194304
Dropout_126492821783712,4194304
GPT2Attention_126492821783472,4194304
LayerNorm_126492821783760,4194304
Conv1D_126492821783952,4194304
Dropout_126492821784048,4194304
GPT2MLP_126492821783808,4194304
GPT2Block_126492821783376,4194304
LayerNorm_126492821784144,4194304
Conv1D_126492821784336,4194304
Dropout_126492821784432,4194304
GPT2Attention_126492821784192,4194304
LayerNorm_126492821784480,4194304
Conv1D_126492821784672,4194304
Dropout_126492821784768,4194304
GPT2MLP_126492821784528,4194304
GPT2Block_126492821784096,4194304
LayerNorm_126492821784864,4194304
Conv1D_126492821785008,4194304
Dropout_126492821785104,4194304
GPT2Attention_126492821784912,4194304
LayerNorm_126492821785152,4194304
Conv1D_126492821785344,4194304
Dropout_126492821785440,4194304
GPT2MLP_126492821785200,4194304
GPT2Block_126492821784816,4194304
LayerNorm_126492821785536,4194304
Conv1D_126492821785728,4194304
Dropout_126492821785824,4194304
GPT2Attention_126492821785584,4194304
LayerNorm_126492821785872,4194304
Conv1D_126492821786064,4194304
Dropout_126492821786160,4194304
GPT2MLP_126492821785920,4194304
GPT2Block_126492821785488,4194304
LayerNorm_126492821786256,4194304
Conv1D_126492821786448,4194304
Dropout_126492821786544,4194304
GPT2Attention_126492821786304,4194304
LayerNorm_126492821786592,4194304
Conv1D_126492821786784,4194304
Dropout_126492821786880,4194304
GPT2MLP_126492821786640,4194304
GPT2Block_126492821786208,4194304
LayerNorm_126492821786976,4194304
Conv1D_126492821787168,4194304
Dropout_126492821787264,4194304
GPT2Attention_126492821787024,4194304
LayerNorm_126492821787312,4194304
Conv1D_126492821787504,4194304
Dropout_126492821787600,4194304
GPT2MLP_126492821787360,4194304
GPT2Block_126492821786928,4194304
LayerNorm_126492821787696,4194304
Conv1D_126492821787888,4194304
Dropout_126492821787984,4194304
GPT2Attention_126492821787744,4194304
LayerNorm_126492821788032,4194304
Conv1D_126492821788224,4194304
Dropout_126492821788320,4194304
GPT2MLP_126492821788080,4194304
GPT2Block_126492821787648,4194304
LayerNorm_126492821788416,4194304
Conv1D_126492821788608,4194304
Dropout_126492821788704,4194304
GPT2Attention_126492821788464,4194304
LayerNorm_126492821788752,4194304
Conv1D_126492821788944,4194304
Dropout_126492821789040,4194304
GPT2MLP_126492821788800,4194304
GPT2Block_126492821788368,4194304
LayerNorm_126492825133392,4194304
Embedding_126492903703664,524288
